symbol,length,batch_number
COQ4,265,228
ZDHHC21,265,229
TMEM270,265,229
ITM2B,266,229
DRAM2,266,229
MRPL9,267,230
RWDD3,267,230
SNAI2,268,230
MAPRE1,268,230
EAF1,268,231
TSSK3,268,231
CEBPD,269,231
GATAD1,269,231
GEMIN2,269,232
MPZL1,269,232
CPSF4,269,232
AQP1,269,232
C12orf71,269,233
PRKAB1,270,233
ELOVL3,270,233
KCNIP2,270,233
CELA3B,270,234
LHPP,270,234
UBXN8,270,234
SPI1,270,234
PITPNA,270,235
HHEX,270,235
RPA2,270,235
CITED2,270,235
CDKN2A_TRAPPC2L,271,236
NUBP2,271,236
ZNF501,271,236
RELL1,271,236
AQP11,271,237
OTUB1,271,237
FOSL1,271,237
TIPRL,272,237
EBLN2,272,238
TGIF1,272,238
FAM210A,272,238
IGFBP5,272,238
HOXA9,272,239
CENPV,272,239
ARGLU1,273,239
XPA,273,239
ZGLP1,273,240
CCDC122,273,240
KITLG,273,240
DNAJC27,273,240
TSSK6,273,241
NQO1,274,241
TOLLIP,274,241
MAD2L1BP,274,241
SLC25A26,274,242
ATG5,275,242
COPS7A,275,242
NECAP1,275,242
RAC1_CDC42SE2,276,243
METTL1,276,243
NIT2,276,243
PSMB8,276,243
CTDSPL,276,244
CYB5R2,276,244
SLA,276,244
RSU1,277,244
CCNB1IP1,277,245
HYI,277,245
CD40,277,245
PSMB7,277,245
CASP3,277,246
SET,277,246
ASB13,278,246
HAUS1,278,246
MARCHF5,278,247
MTIF3,278,247
FRAT1,279,247
PPP1R3E,279,247
CCDC117,279,248
ATP1B3,279,248
MRPL46,279,248
ELOVL1,279,248
CMSS1,279,249
HAX1,279,249
FHL2,279,249
YRDC,279,249
ING1,279,250
FHL3,280,250
XRCC2,280,250
HES1,280,250
DHRS2,280,251
LYL1,280,251
CCDC106,280,251
FASLG,281,251
E2F6,281,252
NSL1,281,252
LBX1,281,252
RBM11,281,252
TNFSF10,281,253
RAB40C,281,253
SRSF8,282,253
CD320,282,253
MMACHC,282,254
SIAH1,282,254
ATF5,282,254
TRA2A,282,254
C1QBP,282,255
SNRPA,282,255
TNFRSF14,283,255
TSPAN33,283,255
VDAC3,283,256
KLF6,283,256
PDX1,283,256
METTL6,284,256
SIX1,284,257
FHL5,284,257
RDM1,284,257
DDAH2,285,257
C1QTNF2,285,258
NEURL2,285,258
PPP1R3B,285,258
CNOT7,285,258
SULT2A1,285,259
INKA1,285,259
CYBRD1,286,259
CAPZA1,286,259
FBXO45,286,260
CAPZA2,286,260
CUEDC2,287,260
IQCK,287,260
LAIR1,287,261
C1QL2,287,261
SLC25A45,288,261
STX1A,288,261
STX1B,288,262
CENPP,288,262
MORF4L2,288,262
HRAS_B2M,289,262
PNP,289,263
TRMT61A,289,263
CCND2,289,263
CIBAR1,289,263
GNPDA1,289,264
PGAM5,289,264
IYD,289,264
CDKN2A_UBE2I,290,264
TP53TG5,290,265
C22orf31,290,265
PIR,290,265
PIH1D1,290,265
VAX2,290,266
CD274,290,266
BRCC3,291,266
STARD10,291,266
MBD3,291,267
MFF,291,267
POPDC3,291,267
BPHL,291,267
TMEM221,291,268
TMEM41B,291,268
MAIP1,291,268
EXOSC7,291,268
SLC25A30,291,269
POU1F1,291,269
ASGR1,291,269
IGFBP3,291,269
CDK5,292,270
CNOT8,292,270
ECHDC2,292,270
DCUN1D4,292,270
C3orf49,292,271
TGFBR3L,292,271
MLEC,292,271
AKTIP,292,271
TTC1,292,272
LRATD1,292,272
LRRC10B,292,272
CCND3,292,272
CASP6,293,273
RPS2,293,273
SGF29,293,273
FBXO6,293,273
MPG,293,274
EXOSC2,293,274
NUS1,293,274
VDAC2,294,274
NPM1,294,275
RARRES1,294,275
SMN1,294,275
GNMT,295,275
CCND1,295,276
MXI1,295,276
CCNG1,295,276
MRPS2,296,276
TMEM241,296,277
MYD88,296,277
CABCOCO1,296,277
CAMLG,296,277
CDK1,297,278
ERCC1,297,278
MEMO1,297,278
TMEM164,297,278
CNN1,297,279
UBXN1,297,279
RPL5,297,279
CIRBP,297,279
EDA2R,297,280
SAP25,297,280
SLC25A51,297,280
TACO1,297,280
SLC25A52,297,281
ILRUN,298,281
AZGP1,298,281
SLC25A4,298,281
OGN,298,282
CDK2,298,282
JAM2,298,282
RAC1_SMDT1,299,282
CD300A,299,283
PHB2,299,283
NMRAL1,299,283
PPP1R3D,299,283
YJEFN3,299,284
TCEA2,299,284
SPRY4,299,284
ELOVL5,299,284
SC5D,299,285
HSD17B13,300,285
CENPO,300,285
ARPC2,300,285
GGPS1,300,286
PLEKHA3,300,286
GID4,300,286
XAF1,301,286
NOSIP,301,287
PDCL,301,287
TCEA1,301,287
AP1AR,302,287
PITX3,302,288
HRAS_NHLH1,303,288
PUSL1,303,288
CASP7,303,288
CRKL,303,289
STUB1,303,289
TEF,303,289
CDK4,303,289
CDKN2A_CETN2,304,290
DIO3,304,290
GULP1,304,290
DTWD1,304,290
CRK,304,291
DPPA4,304,291
FHIT_UBE2I,305,291
HRAS_LGALS1,305,291
PEX2,305,292
HNRNPA0,305,292
NANOG,305,292
RNF148,305,292
DOK5,306,293
LDLRAD4,306,293
MRPL45,306,293
ABHD10,306,293
LYSMD3,306,294
PABPN1,306,294
CDKN2A_CMTM7,307,294
NMI,307,294
SLC39A9,307,295
CDK5R1,307,295
PPP4C,307,295
SLC25A17,307,295
RRAD,308,296
COPE,308,296
TSPY8,308,296
GTF2H3,308,296
SPG21,308,297
TSPY10,308,297
BTG1_MRPL54,309,297
FN3K,309,297
TOMM34,309,298
MNAT1,309,298
PPP2CB,309,298
WBP2NL,309,298
PPP2CA,309,299
CDKN2A_RPL11,310,299
TSEN34,310,299
TAF8,310,299
LRATD2,310,300
SIRT5,310,300
USF1,310,300
PSMD14,310,300
HSD17B3,310,301
ZFPL1,310,301
ABHD17A,310,301
VSIR,311,301
PAQR3,311,302
SLC25A48,311,302
RNF126,311,302
FOXR2,311,302
TMBIM1,311,303
RDH8,311,303
IL20RB,311,303
CLN6,311,303
PIM2,311,304
TRADD,312,304
TSR3,312,304
UCP3,312,304
GIPC3,312,305
PURB,312,305
MTX3,312,305
UNG,313,305
SPDYA,313,306
PRKRA,313,306
CDX2,313,306
PIM1,313,306
DIMT1,313,307
MYEOV,313,307
BNIP2,314,307
WDR38,314,307
LGALS12,314,308
TMEM248,314,308
PITX1,314,308
MAGEA2,314,308
SPP1,314,309
RMDN1,314,309
OR6C6,314,309
SIRT4,314,309
PGAP2,315,310
AAGAB,315,310
SLC25A32,315,310
NGDN,315,310
SPRY2,315,311
CALU,315,311
AKR1B1,316,311
TNFAIP1,316,311
TMEM231,316,312
ANXA13,316,312
ZNF771,317,312
SOX2,317,312
RACK1,317,313
NFKBIA,317,313
RCN2,317,313
MAGEA4,317,313
MPST,317,314
DUS4L,317,314
CA5B,317,314
RFPL3,317,314
RNF41,317,315
RLBP1,317,315
RAC1_UQCC2,318,315
PRPS2,318,315
APEX1,318,316
SLC25A42,318,316
GDPD3,318,316
DEDD,318,316
OR13C5,318,317
ASB7,318,317
ANKRD1,319,317
TMEM121,319,317
SPRY1,319,318
FBXO8,319,318
MVB12B,319,318
ACOT8,319,318
C8orf48,319,319
HRAS_PDE6D,320,319
IMPACT,320,319
NUBP1,320,319
PYCR2,320,320
MYOD1,320,320
AIMP2,320,320
RAC1_RAB5IF,321,320
PLCXD3,321,321
FBL,321,321
NDN,321,321
MFNG,321,321
CDKN2A_COMMD1,322,322
PBK,322,322
RBMX2,322,322
C21orf58,322,322
AKR1C1,323,323
YDJC,323,323
CCNH,323,323
MRPS35,323,323
ANXA3,323,324
MORF4L1,323,324
SLC25A27,323,324
DEGS1,323,324
FHL1,323,325
YJU2,323,325
AKR1C3,323,325
RAC1_FAM174C,324,325
NKX2-5,324,326
SIAH2,324,326
YBX1,324,326
FNDC8,324,326
TMEM68,324,327
CYC1,325,327
IRF1,325,327
PLPPR1,325,327
TNIP3,325,328
MC5R,325,328
PIM3,326,328
FOSL2,326,328
BMI1,326,329
ALX1,326,329
ADORA1,326,329
RASSF2,326,329
MLST8,326,330
DEDD2,326,330
CDK6,326,330
FBXL12,326,330
ELAVL1,326,331
NUP35,326,331
C1orf198,327,331
COPS6,327,331
ANXA8L1,327,332
GPS2,327,332
FKBP6,327,332
VPS26A,327,332
CREB1,327,333
BUB3,328,333
SDS,328,333
ECH1,328,333
CA11,328,334
RAD51D,328,334
FTSJ1,329,334
KCTD13,329,334
FAM43B,329,335
BCL2_HRK,330,335
EXTL2,330,335
ALAD,330,335
PDLIM4,330,336
ZRANB2,330,336
AIP,330,336
PHYHIP,330,336
TLX1,330,337
CFHR1,330,337
PPP1CA,330,337
GRAP2,330,337
JSRP1,331,338
CSTPP1,331,338
TAL1,331,338
CFAP119,331,338
RDH13,331,339
ZNF747,331,339
DOK6,331,339
OR6B3,331,339
JUN,331,340
RCN1,331,340
RABGGTB,331,340
NUDC,331,340
SIX3,332,341
TP53I3,332,341
CGRRF1,332,341
CHORDC1,332,341
ANKRD2,333,342
ST6GALNAC6,333,342
CD1B,333,342
EID3,333,342
AMMECR1,333,343
EN2,333,343
GIPC1,333,343
SUGT1,333,343
EIF2S2,333,344
CD1C,333,344
OSTM1,334,344
MAP2K6,334,344
FBLL1,334,345
WDR5,334,345
USP50,334,345
XRCC4,334,345
MAT2B,334,346
MAGIX,334,346
LCMT1,334,346
COPS5,334,346
BCL2_PLGLB1,335,347
NFYC,335,347
GAPDH,335,347
