ref_ID,alt_ID,bait_ID,perturbation
GAD1_1,GAD1_2,TRIM23,True
RNF6_1,RNF6_2,TCF4,True
RNF6_1,RNF6_2,STX11,True
RNF6_1,RNF6_2,KIAA0753,True
RNF6_1,RNF6_2,MEOX2,True
RNF6_1,RNF6_2,IKZF1,True
RNF6_1,RNF6_2,PNMA2,True
NDN_1,NDN_3,P4HA3,True
RNF6_1,RNF6_2,MID2,True
RNF6_1,RNF6_2,IKZF3,True
RNF6_1,RNF6_2,MTUS2,True
RNF6_1,RNF6_2,TENC1,True
RNF6_1,RNF6_2,TRIM37,True
RNF6_1,RNF6_2,MDFI,True
MXI1_1,MXI1_2,KRT40,True
GAD1_1,GAD1_2,KRTAP3-2,True
NDN_1,NDN_2,SSX2IP_ORF2,True
CFP_1,CFP_2,TRIP13,True
PLP1_1,PLP1_2,PTPRN,True
GAD1_1,GAD1_2,KRT40,True
NDN_1,NDN_2,SSX2IP_ORF1,True
PLP1_1,PLP1_2,CREB3L1_ORF2,True
PPP1R12B_1,PPP1R12B_2,PPP1CB,True
NDN_1,NDN_2,DTNBP1,True
RNF6_1,RNF6_2,KRT15,True
PMM2_1,PMM2_2,ACY3,True
PPP3CA_1,PPP3CA_2,PPP3R1,True
PRCC_1,PRCC_2,HOMER3,True
GAD1_1,GAD1_2,TRIP6_ORF3,True
RNF6_1,RNF6_2,TRIM23,True
RNF6_1,RNF6_2,GOLGA2_ORF2,True
RNF6_1,RNF6_2,GOLGA2_ORF1,True
NDN_1,NDN_3,FXR2,True
MVK_1,MVK_2,MVK,True
RNF6_1,RNF6_2,TFIP11,True
NDN_1,NDN_3,ZBTB1,True
NDN_1,NDN_4,GKAP1,True
NDN_1,NDN_4,DTNBP1,True
NDN_1,NDN_4,SSX2IP_ORF1,True
NDN_1,NDN_4,SSX2IP_ORF2,True
KRT6A_1,KRT6A_2,TSGA10,True
NDN_1,NDN_4,P4HA3,True
KRT6A_1,KRT6A_2,MTUS2,True
NDN_1,NDN_4,FAM131C,True
MCM7_1,MCM7_2,MEOX2,True
NDN_1,NDN_3,SSX2IP_ORF2,True
NDN_1,NDN_5,GOLGA2_ORF1,True
NDN_1,NDN_5,NEFL,True
NDN_1,NDN_5,TP53,True
NDN_1,NDN_5,U2AF1,True
NDN_1,NDN_5,FXR2,True
NDN_1,NDN_3,SSX2IP_ORF1,True
NDN_1,NDN_5,ZBTB1,True
NDN_1,NDN_4,CCDC136,True
NDN_1,NDN_4,C12orf10,True
NDN_1,NDN_4,LAX1,True
NCK2_1,NCK2_2,EFS,True
NDN_1,NDN_3,FAM131C,True
NDN_1,NDN_4,GOLGA2_ORF1,True
NDN_1,NDN_4,NEFL,True
NDN_1,NDN_4,TP53,True
LCK_1,LCK_2,GATA3,True
NDN_1,NDN_4,U2AF1,True
NDN_1,NDN_4,FXR2,True
NDN_1,NDN_4,ZBTB1,True
NDN_1,NDN_4,MIER2,True
LAMB3_1,LAMB3_2,MDFI,True
MCM7_1,MCM7_2,MAGEA6,True
NDN_1,NDN_4,MKRN2,True
NDN_1,NDN_4,EID1,True
NDN_1,NDN_4,TFIP11,True
NDN_1,NDN_4,ZBTB7B,True
NDN_1,NDN_4,APBB1IP,True
NDN_1,NDN_3,DTNBP1,True
NDN_1,NDN_5,MKRN2,True
NDN_1,NDN_3,GKAP1,True
IVD_1,IVD_3,PNMA1,True
MCM7_1,MCM7_2,MCMBP,True
MCM7_1,MCM7_2,CXorf41,True
KRT6A_1,KRT6A_2,GOLGA2_ORF2,True
NDN_1,NDN_5,SSX2IP_ORF1,True
NDN_1,NDN_5,SSX2IP_ORF2,True
MLF1_1,MLF1_5,MAGEA11,True
MLF1_1,MLF1_5,MEOX2,True
NDN_1,NDN_5,P4HA3,True
NDN_1,NDN_3,EID1,True
MNAT1_1,MNAT1_2,GOLGA2_ORF1,True
MOBP_1,MOBP_2,MEOX2,True
NDN_1,NDN_5,FAM131C,True
MOBP_1,MOBP_2,WAC,True
MOBP_1,MOBP_2,KRT40,True
NEFL_1,NEFL_2,DES,True
NDN_1,NDN_3,MKRN2,True
MCM7_1,MCM7_2,ABI2,True
NDN_1,NDN_5,DTNBP1,True
NDN_1,NDN_5,EID1,True
NDN_1,NDN_5,LAX1,True
NDN_1,NDN_5,TFIP11,True
NDN_1,NDN_3,CCDC136,True
NDN_1,NDN_3,C12orf10,True
NDN_1,NDN_3,LAX1,True
NDN_1,NDN_5,ZBTB7B,True
NDN_1,NDN_5,APBB1IP,True
NDN_1,NDN_5,MIER2,True
NDN_1,NDN_3,MIER2,True
NDN_1,NDN_5,GKAP1,True
NDN_1,NDN_5,C12orf10,True
NDN_1,NDN_3,APBB1IP,True
NDN_1,NDN_5,CCDC136,True
NDN_1,NDN_3,ZBTB7B,True
KRT6A_1,KRT6A_2,HGS,True
NDN_1,NDN_3,TFIP11,True
KRT6A_1,KRT6A_2,GOLGA2_ORF1,True
RNF6_1,RNF6_2,LDOC1,True
RNF6_1,RNF6_2,AHCYL1,True
RNF6_1,RNF6_2,HOOK2,True
TEAD4_1,TEAD4_2,MDFI,True
CAPN3_1,CAPN3_2,TFCP2,True
CA9_1,CA9_2,GLRX3,True
SHMT2_1,SHMT2_2,MAL2,True
SHMT2_1,SHMT2_2,CMTM5,True
NCK1_1,NCK1_3,EFS,True
TEAD4_1,TEAD4_2,GOLGA2_ORF1,True
SERPING1_1,SERPING1_3,SLC30A2,True
TEAD4_1,TEAD4_2,TRIM27_ORF2,True
BCL2L1_1,BCL2L1_3,BAD,True
BTC_1,BTC_2,GMPPA,True
TEAD4_1,TEAD4_2,VPS52,True
TEAD4_1,TEAD4_2,TRAF1,True
NCK1_1,NCK1_3,FCHO1,True
BCL2L1_1,BCL2L1_3,VAC14,True
TEAD4_1,TEAD4_2,HOMEZ_ORF1,True
NDN_1,NDN_2,GOLGA2_ORF1,True
SHMT2_1,SHMT2_2,ARL6IP1,True
CAPN3_1,CAPN3_2,CEP76,True
CAPN3_1,CAPN3_7,TFCP2,True
NCK1_1,NCK1_3,ABI2,True
S100A1_1,S100A1_2,REL,True
S100B_1,S100B_2,S100A1,True
S100B_1,S100B_2,S100A2,True
S100B_1,S100B_2,S100B,True
RNF6_1,RNF6_2,RPGRIP1,True
S100B_1,S100B_2,RABAC1,True
S100B_1,S100B_2,AGTRAP,True
S100B_1,S100B_2,TMEM159,True
S100B_1,S100B_2,MAL2,True
CLCN2_1,CLCN2_2,UBQLN1_ORF2,True
S100B_1,S100B_2,LOC100288797,True
NDN_1,NDN_2,ZBTB7B,True
ERCC8_1,ERCC8_3,CAMK2D,True
CDK5_1,CDK5_2,CCND2,True
CASP2_1,CASP2_2,CASP2,True
NDN_1,NDN_2,NEFL,True
TEAD4_1,TEAD4_2,CEP70,True
RXRB_1,RXRB_4,KRT40,True
TEAD4_1,TEAD4_3,SSX2IP_ORF2,True
BAG1_1,BAG1_2,HSPA8,True
AKT1_1,AKT1_2,MTUS2,True
AKT1_1,AKT1_2,TMCC2,True
NDN_1,NDN_2,ZBTB1,True
TEAD4_1,TEAD4_3,CEP70,True
NDN_1,NDN_2,MKRN2,True
NDN_1,NDN_2,TFIP11,True
TEAD4_1,TEAD4_3,C10orf96,True
BCL2L1_1,BCL2L1_2,BMF,True
TEAD4_1,TEAD4_3,KRTAP10-3,True
NME5_1,NME5_3,ZYX,True
NME5_1,NME5_3,CEP76,True
NCK2_1,NCK2_2,CBLB,True
NCK2_1,NCK2_2,LCP2,True
NDN_1,NDN_2,EID1,True
NCK2_1,NCK2_2,ABI2,True
TEAD4_1,TEAD4_3,HOMEZ_ORF1,True
TEAD4_1,TEAD4_3,MTUS2,True
TEAD4_1,TEAD4_3,RUNDC3A,True
NDN_1,NDN_2,FXR2,True
TEAD4_1,TEAD4_2,SSX2IP_ORF2,True
NDN_1,NDN_2,TP53,True
NDN_1,NDN_2,SERTAD3,True
TEAD4_1,TEAD4_2,C10orf96,True
BCL2L1_1,BCL2L1_2,BIK,True
TEAD4_1,TEAD4_2,KRTAP10-3,True
TEAD4_1,TEAD4_3,GOLGA2_ORF1,True
BCL2L1_1,BCL2L1_2,BAD,True
TEAD4_1,TEAD4_3,MDFI,True
TEAD4_1,TEAD4_3,TRIM27_ORF2,True
NDN_1,NDN_2,U2AF1,True
BAG1_1,BAG1_2,TRIM27_ORF2,True
TEAD4_1,TEAD4_3,VPS52,True
TEAD4_1,TEAD4_3,TRAF1,True
TEAD4_1,TEAD4_3,PNMA1,True
RXRB_1,RXRB_4,CCDC57,True
LCK_1,LCK_3,PTK2,True
CLCN2_1,CLCN2_3,FHL3,True
FGA_1,FGA_2,MEOX2,True
FGA_1,FGA_5,MEOX2,True
RXRB_1,RXRB_2,PSTPIP1,True
NCF2_1,NCF2_3,KIFAP3,True
NDN_1,NDN_2,GKAP1,True
RXRB_1,RXRB_2,CALCOCO2,True
RXRB_1,RXRB_2,TADA3,True
RXRB_1,RXRB_2,MID2,True
RXRB_1,RXRB_2,EXOSC8,True
NDN_1,NDN_2,CCDC136,True
DGUOK_1,DGUOK_5,FAM9B,True
RXRB_1,RXRB_2,TFIP11,True
RXRB_1,RXRB_2,UBL7,True
RXRB_1,RXRB_2,KRT40,True
NDN_1,NDN_2,C12orf10,True
NCK1_1,NCK1_2,FASLG,True
RXRB_1,RXRB_3,GOLGA2_ORF1,True
NCK1_1,NCK1_2,WASL,True
E2F6_1,E2F6_3,TFDP2,True
RXRB_1,RXRB_2,TP53BP2,True
RXRB_1,RXRB_2,TFCP2,True
RXRB_1,RXRB_2,SIAH1_ORF1,True
RXRB_1,RXRB_2,TRIM27_ORF1,True
RNF6_1,RNF6_2,RINT1,True
FH_1,FH_7,CCNDBP1,True
RNF6_1,RNF6_2,CCDC33,True
RNF6_1,RNF6_2,CEP70,True
RNF6_1,RNF6_2,TSGA10,True
RNF6_1,RNF6_2,SSX2IP_ORF2,True
RNF6_1,RNF6_2,KRT40,True
RNF6_1,RNF6_2,MIPOL1,True
RNF6_1,RNF6_2,SPERT,True
